那	nǎ<div>that</div>	B1-L2-Family B1-L4-Hobbies
忙	máng<div>busy</div>	B1-L3-Time-and-Date
明天	míngtiān<div>tomorrow</div>	B1-L3-Time-and-Date
晚饭	wǎnfàn<div>dinner</div>	B1-L3-Time-and-Date
为什么	wèishénme<div>why</div>	B1-L3-Time-and-Date
为	wèi<div>for</div>	B1-L3-Time-and-Date
因为	yīnwèi<div>because</div>	B1-L3-Time-and-Date
还	hái<div>also, too, as well</div><div><br></div><div>huán</div><div>to return (something)</div>	B1-L3-Time-and-Date B2-L17-Renting-An-Apartment
同学	tóngxué<div>classmate</div>	B1-L3-Time-and-Date
认识	rènshi<div>to recognize, to know (a person)</div>	B1-L3-Time-and-Date
朋友	péngyou<div>friend</div>	B1-L3-Time-and-Date
周末	zhōumò<div>weekend</div>	B1-L4-Hobbies
打球	dǎqiú<div>to play ball</div>	B1-L4-Hobbies
打	dǎ<div>to hit</div>	B1-L4-Hobbies
球	qiú<div>ball</div>	B1-L4-Hobbies
看	kàn<div>to watch, to look, to read</div>	B1-L4-Hobbies
电视	diànshì<div>TV</div>	B1-L4-Hobbies
电	diàn<div>electricity</div>	B1-L4-Hobbies B2-L16-Dating
视	shì<div>vision</div>	B1-L4-Hobbies
唱歌(儿）	chànggē(r)<div>to sing (a song)</div>	B1-L4-Hobbies
唱	chàng<div>to sing</div>	B1-L4-Hobbies
歌	gē<div>song</div>	B1-L4-Hobbies
跳舞	tiàowǔ<div>to dance</div>	B1-L4-Hobbies
跳	tiào<div>to jump</div>	B1-L4-Hobbies
舞	wǔ<div>dance (noun)</div>	B1-L4-Hobbies
听	tīng<div>to listen</div>	B1-L4-Hobbies
音乐	yīnyuè<div>music</div>	B1-L4-Hobbies
书	shū<div>book</div>	B1-L4-Hobbies
对	duì<div>right, correct, yes</div>	B1-L4-Hobbies
有的	yǒude<div>some</div>	B1-L4-Hobbies
时候	shíhou<div>a point in or duration of time</div>	B1-L4-Hobbies
电影	diànyǐng<div>movie</div>	B1-L4-Hobbies
影	yǐng<div>shadow</div>	B1-L4-Hobbies
常常	chángcháng<div>often</div>	B1-L4-Hobbies
去	qù<div>to go</div>	B1-L4-Hobbies
外国	wàiguó<div>foreign country</div>	B1-L4-Hobbies
外	wài<div>outside, foreign, external</div>	B1-L4-Hobbies
请客	qǐngkè<div>to invite someone for dinner, coffee, etc., to play host</div>	B1-L4-Hobbies
昨天	zuótiān<div>yesterday</div>	B1-L4-Hobbies
所以	suǒyǐ<div>so</div>	B1-L4-Hobbies
小	xiǎo<div>small, little</div>	B1-L4-Hobbies
好久	hǎojiǔ<div>a long time</div>	B1-L4-Hobbies
好	hǎo<div>- good</div><div>- very (doesn't seem interchangeable with 很)</div>	B1-L4-Hobbies
久	jiǔ<div>long (in time)</div>	B1-L4-Hobbies
不错	búcuò<div>not bad, fairly good</div>	B1-L4-Hobbies
错	cuò<div>wrong</div>	B1-L4-Hobbies
想	xiǎng<div>- to want to, to want</div><div>- to think</div>	B1-L4-Hobbies B2-L16-Dating
觉得	juéde<div>to feel, to think</div>	B1-L4-Hobbies
有意思	yǒuyìsi<div>interesting</div>	B1-L4-Hobbies
意思	yìsi<div>meaning (noun)</div>	B1-L4-Hobbies
只	zhǐ<div>only</div>	B1-L4-Hobbies
睡觉	shuìjiào<div>to sleep</div>	B1-L4-Hobbies
睡	shuì<div>to sleep (verb)</div>	B1-L4-Hobbies
觉	jiào<div>sleep (noun)</div>	B1-L4-Hobbies
算了	suànle<div>forget it, never mind</div>	B1-L4-Hobbies
找	zhǎo<div>to look for</div>	B1-L4-Hobbies
别人	biérén<div>other people, another person</div>	B1-L4-Hobbies
别（的）	bié(de)<div>other (adverb)</div>	B1-L4-Hobbies
月	yuè<div>month</div>	B1-L3-Time-and-Date
号	<div>hào</div>- measure word - days of month, position in numerical list, etc.<div>- size (e.g., for clothes)</div>	B1-L3-Time-and-Date B1-L9-Shopping
星期	xīngqī<div>week</div>	B1-L3-Time-and-Date
天	tiān<div>- day</div><div>- sky</div><div>- heaven</div>	B1-L3-Time-and-Date
生日	shēngrì<div>birthday</div>	B1-L3-Time-and-Date
生	shēng<div>to birth or be born</div>	B1-L3-Time-and-Date
日	rì<div>- day</div><div>- sun</div>	B1-L3-Time-and-Date
年	nián<div>- year</div>	B1-L3-Time-and-Date
多	duō<div>- how many</div><div>- how much</div><div>- many</div><div>- much</div>	B1-L3-Time-and-Date B1-L7-Studying-Chinese
大	dà<div>- big</div><div>- old</div>	B1-L3-Time-and-Date
岁	suì<div>- years old (i.e., describing age for children)</div>	B1-L3-Time-and-Date
吃	chī<div>to eat</div>	B1-L3-Time-and-Date
饭	fàn<div>meal</div>	B1-L3-Time-and-Date
怎么样	zěnmeyàng<div>- how is that?</div><div>- is that okay?</div><div>- how are you?</div>	B1-L3-Time-and-Date
太	tài<div>too, excessively, very</div>	B1-L3-Time-and-Date
谢谢	xièxie<div>thank you</div>	B1-L3-Time-and-Date
喜欢	xǐhuan<div>to like</div>	B1-L3-Time-and-Date
菜	cài<div>dish or cuisine</div>	B1-L3-Time-and-Date
还是	háishi<div>or</div>	B1-L3-Time-and-Date
可是	kěshì<div>but</div>	B1-L3-Time-and-Date
我们	wǒmen<div>- we, us</div>	B1-L3-Time-and-Date
点	diǎn<div>o'clock</div>	B1-L3-Time-and-Date
半	bàn<div>half</div>	B1-L3-Time-and-Date
晚上	wǎnshang<div>- evening or night</div>	B1-L3-Time-and-Date
见	jiàn<div>to see</div>	B1-L3-Time-and-Date
再见	zàijiàn<div>- bye, until we see each other again</div>	B1-L3-Time-and-Date
再	zài<div>again (but used for a future event, as opposed to 又）</div>	B1-L3-Time-and-Date B1-L9-Shopping
英国	Yīngguó<div>United Kingdom</div>	B1-L3-Time-and-Date
印度	Yìndù<div>India</div>	B1-L3-Time-and-Date
德国	Déguó<div>Germany</div>	B1-L3-Time-and-Date
韩国	Hánguó<div>South Korea (Republic of Korea)</div>	B1-L3-Time-and-Date
美国	Měiguó<div>United States</div>	B1-L3-Time-and-Date
日本	Rìběn<div>Japan</div>	B1-L3-Time-and-Date
中国	Zhōngguó<div>China</div>	B1-L3-Time-and-Date
呀	ya<div>(particle used to soften a question)</div>	B1-L5-Visiting-Friends
进	jìn<div>to enter</div>	B1-L5-Visiting-Friends
快	<div>kuài</div>quickly; fast	B1-L5-Visiting-Friends
进来	jìnlai<div>to come in</div>	B1-L5-Visiting-Friends
来	lái<div>to come</div>	B1-L5-Visiting-Friends
介绍	jièshào<div>to introduce</div>	B1-L5-Visiting-Friends
一下	yíxià<div>once, a bit</div>	B1-L5-Visiting-Friends
高兴	gāoxìng<div>happy</div>	B1-L5-Visiting-Friends
漂亮	piàoliang<div>pretty</div>	B1-L5-Visiting-Friends
坐	zuò<div>- to sit</div><div>- to travel by</div>	B1-L10-Transportation B1-L5-Visiting-Friends
在	zài<div>- at; in; on</div><div>- to be present or at a place</div>	B1-L5-Visiting-Friends B1-L6-Making-Appointments
哪（儿）/&nbsp;哪	<div>nǎ(r)<br></div><div>- where</div><div><br></div><div><div>nǎ/něi<br></div><div>- which</div></div>	B1-L5-Visiting-Friends B1-L6-Making-Appointments
学校	xuéxiào<div>school</div>	B1-L5-Visiting-Friends
喝	hē<div>to drink</div>	B1-L5-Visiting-Friends
点（儿）	diǎn (diǎr)<div>a bit; some</div>	B1-L5-Visiting-Friends
茶	chá<div>tea</div>	B1-L5-Visiting-Friends
咖啡	kāfēi<div>coffee</div>	B1-L5-Visiting-Friends
吧	ba<div>(particle that ends a sentence)</div>	B1-L5-Visiting-Friends
要	yào<div>- to want</div><div>- will, to be going to</div>	B1-L5-Visiting-Friends B1-L6-Making-Appointments
瓶	píng<div>(measure word for bottles)</div>	B1-L5-Visiting-Friends
可乐	kělè<div>cola</div>	B1-L5-Visiting-Friends
可以	kěyǐ<div>can, may</div>	B1-L5-Visiting-Friends
对不起	duìbuqǐ<div>sorry</div>	B1-L5-Visiting-Friends
给	gěi<div>- to give</div><div>- to, for</div>	B1-L5-Visiting-Friends B1-L6-Making-Appointments
杯	bēi<div>(measure word for cup/glass; e.g., of water)</div>	B1-L5-Visiting-Friends
水	shuǐ<div>water</div>	B1-L5-Visiting-Friends
玩（儿）	wān (wár)<div>to have fun</div>	B1-L5-Visiting-Friends
了	le<div>- (used in many ways; e.g., to indicate past tense, exclamatory particle, change of state, among others)</div><div><br></div><div>liǎo<br></div><div>- to finish or achieve or understand</div>	B1-L5-Visiting-Friends
图书馆	túshūguǎn<div>library</div>	B1-L5-Visiting-Friends
一起	yìqǐ<div>together</div>	B1-L5-Visiting-Friends
聊天（儿）	liáotiān / liáotiār<div>to chat</div>	B1-L5-Visiting-Friends
聊	liáo<div>to chat</div>	B1-L5-Visiting-Friends
才	cái<div>not until; only then</div>	B1-L5-Visiting-Friends
回家	huíjiā<div>to return home</div>	B1-L5-Visiting-Friends
回	huí<div>to return</div>	B1-L5-Visiting-Friends
打电话	dǎdiànhuà<div>to make a phone call</div>	B1-L6-Making-Appointments
电话	diànhuà<div>telephone</div>	B1-L6-Making-Appointments
喂	wèi/wéi<div>(on phone) Hi</div>	B1-L6-Making-Appointments
就	jiù<div>- exactly; precisely</div><div>- just; only (indicating a small number)</div>	B1-L6-Making-Appointments B2-L16-Dating
您	nín<div>- more respecful and formal 你</div>	B1-L6-Making-Appointments
位	wèi<div>- (polite measure word for people)</div>	B1-L6-Making-Appointments
下午	xiàwǔ<div>- afternoon</div>	B1-L6-Making-Appointments
时间	shíjiān<div>- time</div>	B1-L6-Making-Appointments
问题	wèntí<div>- question</div>	B1-L6-Making-Appointments
开会	kāihuì<div>to have a meeting</div>	B1-L6-Making-Appointments
开	kāi<div>- to open or hold (e.g., meeting, party)</div><div>- to drive, to operate</div>	B1-L10-Transportation B1-L6-Making-Appointments
会	huì<div>- meeting (noun)</div><div>- can, know how to</div><div>- will</div>	B1-L6-Making-Appointments B1-L8-School-Life B2-L11-Weather
上午	shàngwǔ<div>late morning</div>	B1-L6-Making-Appointments
节	jié<div>- (measure word for class sessions)</div><div>- holiday or some general celebratory occasion</div>	B1-L6-Making-Appointments B2-L14-Birthday-Party
课	kè<div>class; course; lesson</div>	B1-L6-Making-Appointments
年级	niánjí<div>grade (i.e., which year of school)</div>	B1-L6-Making-Appointments
考试	kǎoshì<div>to give/take a test</div>	B1-L6-Making-Appointments
考	kǎo<div>to give/take a test</div>	B1-L6-Making-Appointments
试	shì<div>- a test</div><div>- to try or experiment</div>	B1-L6-Making-Appointments B1-L9-Shopping
以后	yǐhòu<div>after</div>	B1-L6-Making-Appointments
空（儿）	kòng(r)<div>- free time</div>	B1-L6-Making-Appointments
要是	yàoshi<div>if</div>	B1-L6-Making-Appointments
方便	fāngbiàn<div>convenient</div>	B1-L6-Making-Appointments
到	dào<div>to go to or arrive</div>	B1-L6-Making-Appointments
办公室	bàngōngshì<div>office</div>	B1-L6-Making-Appointments
行	xíng<div>all right, OK</div>	B1-L6-Making-Appointments
等	děng<div>to wait</div>	B1-L6-Making-Appointments
别	bié<div>- don't</div><div>- other</div>	B1-L6-Making-Appointments
客气	<div>kèqi</div><div><div>- polite</div></div>	B1-L6-Making-Appointments
下个	xiàge<div>next</div>	B1-L6-Making-Appointments
下	xià<div>- below</div><div>- next</div>	B1-L6-Making-Appointments
中文	Zhōngwén<div>Chinese language</div>	B1-L6-Making-Appointments
德文	Déwén<div>German language</div>	B1-L6-Making-Appointments
日文	Rìwén<div>Japanese language</div>	B1-L6-Making-Appointments
韩语	Hányǔ<div>Korean langauge (esp. South Korean context)</div>	B1-L6-Making-Appointments
印地语	Yìndìyǔ<div>Hindi language</div>	B1-L6-Making-Appointments
马尔瓦里	Mǎ'ērwǎlǐ<div>Marwari language</div>	B1-L6-Making-Appointments
文	wén<div>language; script; written language</div>	B1-L6-Making-Appointments
帮	bāng<div>to help</div>	B1-L6-Making-Appointments
准备	zhǔnbèi<div>to prepare</div>	B1-L6-Making-Appointments
练习	liànxí<div>to practice</div>	B1-L6-Making-Appointments
说	shuō<div>to say or speak</div>	B1-L6-Making-Appointments
啊	a<div>(particle at end of sentence for exclaiming, questioning, etc.)</div>	B1-L6-Making-Appointments
但是	dànshì<div>but</div>	B1-L6-Making-Appointments
得	děi<div>must; to have to</div><div><br></div><div>de</div><div>particle used after verb/adjective, preceding a descriptive complement</div><div>- e.g. L7 descriptive complements comment&nbsp; on the action described in the attached (preceding) verb</div><div>-- 他说普通话说de很好。</div>	B1-L6-Making-Appointments B1-L7-Studying-Chinese
跟	gēn<div>with</div>	B1-L6-Making-Appointments
见面	jiànmiàn<div>to meet up or meet with</div>	B1-L6-Making-Appointments
面	miàn<div>face (noun)</div>	B1-L6-Making-Appointments
回来	huílai<div>to come back</div>	B1-L6-Making-Appointments
说话	shuōhuà<div>to talk</div>	B1-L7-Studying-Chinese
话	huà<div>word, speech</div>	B1-L7-Studying-Chinese
上个	shāngge<div>previous, last</div>	B1-L7-Studying-Chinese
复习	fùxí<div>to review</div>	B1-L7-Studying-Chinese
写	xiě<div>to write</div>	B1-L7-Studying-Chinese
字	zì<div>a written character</div>	B1-L7-Studying-Chinese
慢	màn<div>slow</div>	B1-L7-Studying-Chinese
枝	zhī<div>measure word for thin, rigid, long things like pencils</div>	B1-L7-Studying-Chinese
笔	bǐ<div>pen</div>	B1-L7-Studying-Chinese
张	zhāng<div>measure word for flat things like paper, pictures</div>	B1-L7-Studying-Chinese
纸	zhǐ<div>paper</div>	B1-L7-Studying-Chinese
教	<div>jiāo</div>to teach	B1-L7-Studying-Chinese
怎么	zěnme<div>how, how come</div>	B1-L7-Studying-Chinese
懂	dǒng<div>understand</div>	B1-L7-Studying-Chinese
真	zhēn<div>really</div>	B1-L7-Studying-Chinese
哪里	<div>nǎli</div>where	B1-L7-Studying-Chinese
预习	yùxí<div>to preview</div>	B1-L7-Studying-Chinese
学	xué<div>to study</div>	B1-L7-Studying-Chinese
第	"dì<div>- prefix used for numbering (e.g., ""first instance"" is dì一次）</div>"	B1-L7-Studying-Chinese
语法	yǔfǎ<div>grammar</div>	B1-L7-Studying-Chinese
容易	róngyì<div>easy</div>	B1-L7-Studying-Chinese
生词	shēngcí<div>vocabulary (specifically in textbook, a word not yet studied)</div>	B1-L7-Studying-Chinese
汉字	Hànzì<div>Chinese characters</div>	B1-L7-Studying-Chinese
难	nán<div>difficult</div>	B1-L7-Studying-Chinese
平常	píngcháng<div>usually</div>	B1-L7-Studying-Chinese
早	zǎo<div>early</div>	B1-L7-Studying-Chinese
这么	zhème<div>so, this (late...)</div>	B1-L7-Studying-Chinese
晚	wǎn<div>late</div>	B1-L7-Studying-Chinese
早上	zǎoshang<div>early morning</div>	B1-L7-Studying-Chinese
功课	<div>gōngkè</div>homework, schoolwork	B1-L7-Studying-Chinese
大家	dàjiā<div>everybody</div>	B1-L7-Studying-Chinese
上课	shàngkè<div>to go to, start, attend, be in class</div>	B1-L7-Studying-Chinese
开始	kāishǐ<div>to start</div>	B1-L7-Studying-Chinese
念	niàn<div>to real aloud</div>	B1-L7-Studying-Chinese
课文	kèwén<div>text of lesson</div>	B1-L7-Studying-Chinese
录音	lùyīn<div>- sound recording</div><div>- to record</div>	B1-L7-Studying-Chinese
学习	xuéxí<div>- to study</div><div>- to learn</div>	B1-L7-Studying-Chinese
帅	shuài<div>handsome</div>	B1-L7-Studying-Chinese
酷	"kù<div>cool (as in ""that's looks cool"", referring to appearance or behavior)</div>"	B1-L7-Studying-Chinese
篇	piān<div>measure word for essays，articles，papers</div>	B1-L8-School-Life
日记	rìjì<div>diary</div>	B1-L8-School-Life
累	lèi<div>tired</div>	B1-L8-School-Life
起床	qǐchuáng<div>to get up</div>	B1-L8-School-Life
床	chuáng<div>bed</div>	B1-L8-School-Life
洗澡	<div>xǐzǎo</div>to take bath or shower	B1-L8-School-Life
早饭	zǎofàn<div>breakfast</div>	B1-L8-School-Life
一边	yìbiān<div>simultaneously, at the same time</div>	B1-L8-School-Life
教室	jiàoshì<div>classroom</div>	B1-L8-School-Life
发音	fāyīn<div>pronunciation</div>	B1-L8-School-Life
新	xīn<div>new</div>	B1-L8-School-Life
电脑	diànnǎo<div>computer</div>	B1-L8-School-Life
脑	nǎo<div>brain</div>	B1-L8-School-Life
中午	zhōngwǔ<div>noon （roughly 12-1 PM）</div>	B1-L8-School-Life
餐厅	<div>cāntīng</div>dining room, cafeteria	B1-L8-School-Life
午饭	wǔfàn<div>lunch</div>	B1-L8-School-Life
上网	shàngwǎng<div>to surf Internet，to go online</div>	B1-L8-School-Life
宿舍	sùshè<div>dormitory</div>	B1-L8-School-Life
那儿	nǎr<div>there</div>	B1-L8-School-Life
正在	zhèngzài<div>in the middle (of doing something)</div>	B1-L8-School-Life
以前	yǐqián<div>before</div>	B1-L8-School-Life
告诉	gàosu<div>to tell</div>	B1-L8-School-Life
已经	yǐjīng<div>already</div>	B1-L8-School-Life
知道	zhīdao<div>to know</div>	B1-L8-School-Life
封	fēng<div>- measure word for letters</div>	B1-L8-School-Life
信	xìn<div>- letter (as a correspondence, writing a letter to someone type of letter)</div>	B1-L8-School-Life
最近	zuìjìn<div>recently</div>	B1-L8-School-Life
最	zuì<div>- indicates highest degree (e.g., most, greatest, worst, etc.)</div>	B1-L8-School-Life B2-L14-Birthday-Party
近	jìn<div>close, near</div>	B1-L8-School-Life B2-L13-Asking-Directions
学期	xuéqī<div>school term, semester, quarter</div>	B1-L8-School-Life
除了	chúle<div>in addition to, besides</div>	B1-L8-School-Life
以外	yǐwài<div>- other than, apart from, except for, beyond</div><div>-- used with 除了as 除了。。。yǐwài</div>	B1-L8-School-Life
专业	zhuānyè<div>- major (in college)</div><div>- specialty</div><div>- professional</div>	B1-L8-School-Life
后来	hòulái<div>later</div>	B1-L8-School-Life
音乐会	yīnyuèhuì<div>concert</div>	B1-L8-School-Life
希望	xīwàng<div>to hope; hope</div>	B1-L8-School-Life
能	néng<div>can, to be able to</div>	B1-L8-School-Life
用	yòng<div>to use</div>	B1-L8-School-Life
笑	xiào<div>to laugh, to smile</div>	B1-L8-School-Life
祝	zhù<div>to wish (well)</div>	B1-L8-School-Life
商店	shāngdiàn<div>store, shop</div>	B1-L9-Shopping
买	mǎi<div>to buy</div>	B1-L9-Shopping
东西	dōngxi<div>things, objects</div>	B1-L9-Shopping
售货员	shòuhuòyuán<div>shop assistant, salesclerk</div>	B1-L9-Shopping
衣服	yīfu<div>clothes</div>	B1-L9-Shopping
件	jiàn<div>- measure word for clothes for upper body</div>	B1-L9-Shopping
衬衫	chènshān<div>button-down shirt</div>	B1-L9-Shopping
颜色	yánsè<div>color</div>	B1-L9-Shopping
黄	huáng<div>yellow</div>	B1-L9-Shopping
红	hóng<div>red</div>	B1-L9-Shopping
穿	chuān<div>to wear, to put on</div>	B1-L9-Shopping
裤子	kùzi<div>pants</div>	B1-L9-Shopping
中	zhōng<div>medium, middle</div>	B1-L9-Shopping
便宜	piányi<div>cheap, inexpensive</div>	B1-L9-Shopping
如果	rúguǒ<div>if</div>	B1-L9-Shopping
长短	chángduǎn<div>length</div>	B1-L9-Shopping
长	cháng<div>long</div><div><br></div><div>zhǎng</div><div>to grow, to appear</div>	B1-L9-Shopping B2-L14-Birthday-Party
短	duǎn<div>short</div>	B1-L9-Shopping
合适	héshì<div>suitable</div>	B1-L9-Shopping
不用	búyòng<div>need not</div>	B1-L9-Shopping
一共	yígòng<div>altogether</div>	B1-L9-Shopping
多少	duōshao<div>how much/how many</div>	B1-L9-Shopping
钱	qián<div>money</div>	B1-L9-Shopping
块	kuài<div>- measure word for basic Chinese money unit</div>	B1-L9-Shopping
毛	máo<div>- measure word for 1/10th of a 块 （equivalent of a dime)</div>	B1-L9-Shopping
分	fēn<div>- measure word for 1/100 of a 块 （equal to a cent)</div>	B1-L9-Shopping
百	bǎi<div>hundred</div>	B1-L9-Shopping
找（钱）	zhǎo(qián)<div>to give change</div>	B1-L9-Shopping
双	shuāng<div>- measure word for a pair</div>	B1-L9-Shopping
鞋	xié<div>shoes</div>	B1-L9-Shopping
换	huàn<div>to exchange, to change</div>	B1-L9-Shopping
一样	yíyàng<div>same, alike</div>	B1-L9-Shopping
虽然	suīrán<div>although</div>	B1-L9-Shopping
大小	dàxiǎo<div>size</div>	B1-L9-Shopping
咖啡色	kāfēisè<div>coffee color</div>	B1-L9-Shopping
种	zhǒng<div>- measure word for kinds, sorts, types</div>	B1-L9-Shopping
黑	hēi<div>black</div>	B1-L9-Shopping
样子	yàngzi<div>style</div>	B1-L9-Shopping
挺	tǐng<div>very, rather</div>	B1-L9-Shopping
它	tā<div>it</div>	B1-L9-Shopping
这儿	zhèr<div>here</div>	B1-L9-Shopping
刷卡	shuākǎ<div>to pay with credit card</div>	B1-L9-Shopping
刷	shuā<div>to brush, to swipe</div>	B1-L9-Shopping
卡	kǎ<div>card (e.g., credit card)</div>	B1-L9-Shopping
收	shōu<div>to receive, to accept</div>	B1-L9-Shopping
信用卡	xìnyòngkǎ<div>credit card</div>	B1-L9-Shopping
不过	búguò<div>however, but</div>	B1-L9-Shopping
付钱	fùqián<div>to pay money</div>	B1-L9-Shopping
付	fù<div>to pay</div>	B1-L9-Shopping
寒假	hánjià<div>winter vacation</div>	B1-L10-Transportation
飞机	fēijī<div>airplane</div>	B1-L10-Transportation
飞	fēi<div>to fly</div>	B1-L10-Transportation
机	jī<div>machine</div>	B1-L10-Transportation
票	piào<div>ticket</div>	B1-L10-Transportation
（飞）机场	(fēi)jīchǎng<div>airport</div>	B1-L10-Transportation
公共汽车	gōnggòngqìchē<div>bus</div>	B1-L10-Transportation
公共	gōnggòng<div>public</div>	B1-L10-Transportation
汽车	qìchē<div>automobile</div>	B1-L10-Transportation
车	chē<div>vehicle, car</div>	B1-L10-Transportation
或者	huòzhě<div>or</div>	B1-L10-Transportation
地铁	dìtiě<div>subway (train system)</div>	B1-L10-Transportation
走	zǒu<div>- to walk to go by way or walking</div>	B1-L10-Transportation
先	xiān<div>first</div>	B1-L10-Transportation
路	lù<div>road, route</div>	B1-L10-Transportation
站	zhàn<div>- measure word for bus stops, train stops, etc.</div>	B1-L10-Transportation
下车	xiàchē<div>to get off (bus, train, etc.)</div>	B1-L10-Transportation
然后	ránhòu<div>then</div>	B1-L10-Transportation
绿	lǜ<div>green</div>	B1-L10-Transportation
线	xiàn<div>line (e.g., a metro line, red line, blue line, etc.)</div>	B1-L10-Transportation
最后	zuìhòu<div>final, last</div>	B1-L10-Transportation
蓝	lán<div>blue</div>	B1-L10-Transportation
麻烦	máfan<div>troublesome</div>	B1-L10-Transportation
打车	dǎchē<div>to take taxi</div>	B1-L10-Transportation
出租汽车	chūzūqìchē<div>taxi</div>	B1-L10-Transportation
出租	chūzū<div>to rent out, to let</div>	B1-L10-Transportation B2-L17-Renting-An-Apartment
租	zū<div>to rent (verb)</div>	B1-L10-Transportation B2-L19-Travel
开车	kāichē<div>to drive a car</div>	B1-L10-Transportation
送	sòng<div>- to see off or out, to take (someone somewhere)</div><div>- to give as a gift</div>	B1-L10-Transportation B2-L14-Birthday-Party
电子邮件	diànzǐyóujiàn<div>email</div>	B1-L10-Transportation
电子	diànzǐ<div>electron</div>	B1-L10-Transportation
让	ráng<div>to allow or cause (somebody to do something)</div>	B1-L10-Transportation
花	huā<div>- to spend</div><div>- flower (noun)</div>	B1-L10-Transportation B2-L14-Birthday-Party
不好意思	bùhǎoyìsi<div>to feel embarrassed</div>	B1-L10-Transportation
出去	chūqu<div>to go out</div>	B1-L10-Transportation
每	měi<div>every, each</div>	B1-L10-Transportation
城市	chéngshì<div>city</div>	B1-L10-Transportation
特别	tèbié<div>especially</div>	B1-L10-Transportation
高速公路	gāosùgōnglù<div>highway</div>	B1-L10-Transportation
高速	gāosù<div>high speed</div>	B1-L10-Transportation
公路	gōnglù<div>highway, public road</div>	B1-L10-Transportation
紧张	jǐnzhāng<div>nervous, anxious</div>	B1-L10-Transportation
自己	zìjǐ<div>oneself, by yourself</div>	B1-L10-Transportation
手机	shǒujī<div>cell phone</div>	B1-L10-Transportation
发短信	fāduǎnxìn<div>to send a SMS, to send a short message</div>	B1-L10-Transportation
新年	xīnnián<div>new year</div>	B1-L10-Transportation
快乐	kuàilè<div>happy</div>	B1-L10-Transportation
天气	tiānqì<div>weather</div>	B2-L11-Weather
比	bǐ<div>- comparison marking word, used between two compared things</div>	B2-L11-Weather
下雪	xiàxuě<div>to snow</div>	B2-L11-Weather
约	yuē<div>to make an appointment</div>	B2-L11-Weather
公园	gōngyuán<div>park (as in a skate park or Central Park)</div>	B2-L11-Weather
滑冰	huábīng<div>to ice scate</div>	B2-L11-Weather
冷	lěng<div>cold (adjective)</div>	B2-L11-Weather
刚才	gāngcái<div>just now, a moment ago</div>	B2-L11-Weather
网上	wǎngshang&nbsp;<div>on the Internet</div>	B2-L11-Weather
预报	yùbào<div>- to forecast (verb)</div><div>- forecast (noun)</div>	B2-L11-Weather
更	gèng<div>even more</div>	B2-L11-Weather
不但。。。而且。。。	búdàn...érqiě...<div>not only...but also...</div>	B2-L11-Weather
暖和	nuǎnhuo<div>warm</div>	B2-L11-Weather
